,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
699,Anna Idli,South Indian,4.0,300,South Ambazari Road,Dharampeth,"ANNA IDLI, SHRADDHANAND PETH SOUTH  AMBAZARI ROAD, Nagpur urban, Nagpur-1,  Maharashtra-440022",False,21.1409684,79.0624344
700,The Antique Oven,Pizzas,3.7,250,Rameshwari,Nandanvan,"Plot No. 177, Space Tower, Flat no. 104, Ayurvedic Layout, Bhande Plot Chowk, Umred Road, Nagpur",False,21.1375622,79.1226825
701,Family Tadka,North Indian,3.4,250,Nandanvan,Nandanvan,3011/F/117 Ramna marothi road kamgar nagar shri prabhu nagar Area : New Nandanwan ramna,False,21.1375622,79.1226825
702,Haaji Babbu Biryani Center,"Biryani,North Indian",,300,Nandanvan,Nandanvan,"House no898, husanbag near ring road nagpur 440009",False,21.1375622,79.1226825
703,Hotel Dawat (Mankapur),"North Indian,Mughlai,Chinese",4.1,600,Gittikhadan,Mankapur,"8, Koradi road, Opposite kunal hospital, new mankpur, Nagpur",False,21.1877458,79.0790793
704,Dip's Kitchen,"Biryani,North Indian",,300,Ayodhya Nagar,Ayodhya Nagar,"PLOT NO 40 OLD DNYANESHWAR NAGAR NEAR MATA MANDIR MANEWADA ROAD , Zone No.5- hanumangar , Nagpur (Urban), nagpur, Maharashtra-440027",False,21.1205917,79.11011712375097
705,KISMAT ICE WORLD,"Ice Cream,Beverages,Waffle",,200,Gandhibagh,Gandhibagh,615/B OPP NMC GARDEN BESIDES TAJ NURSING HOME MAIN ROAD SHANTI NAGAR ZONE NO 6 GANDHIBAG NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,21.1543273,79.1058527
706,MAVERICK FOOD CLUB,Fast Food,,200,Wardha Road,Wardha Road,PLOT NO 10 WARDHA ROAD URVILA COLONY NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,21.1137775,79.070792
707,INFUSION COFFEE & YOU,"Beverages,Fast Food,Snacks",,499,Pratap Nagar,Pratap Nagar,"SHRI GANESH VIGHNAHARTA APARTMENT, SHOP NO. 10, UGF MATE SQUARE, OPP. DOMINOS, SHRADDHA NAND PETH, N, Nagpur urban, Nagpur-1 (Maharashtra), - 440022",True,21.1137148,79.0567838
708,Jhanvis kitchen,Beverages,,350,Sadar,Sadar,Plot no.1165/6 near bheem garjana budh vihar bank Colony road jaripatka,True,21.1592054,79.0795595
709,THE YUMMYLICIOUS FOOD KITCHEN,"North Indian,Snacks",,150,Sadar,Sadar,Q NO 49 BANZAMBAG JARIPATKA NAGPUR URBAN NAGPUR MAHARASHTRA,False,21.1592054,79.0795595
710,CHEF'S KITCHEN,"North Indian,Fast Food,Burgers,Italian",,300,Ayodhya Nagar,Ayodhya Nagar,"HOUSE NO 5508 AYODHYA NAGAR ROAD AYODHYA NAGAR , Zone no.5- Hanumannagar , Nagpur(Urban), Nagpur , Maharashtra -440024",False,21.1205917,79.11011712375097
711,Varhadi Thali Centre & Restaurant,"North Indian,Maharashtrian",4.3,400,Khamla,Khamla Road,"52, Vyankatesh nagar, near Arjuna celebration Hall, Khamla road, nagpur 440025",True,21.1182361,79.0714526
712,Habits Restaurant,"North Indian,Chinese,Italian,Fast Food,Beverages",,300,Nandanvan,Nandanvan,"194,195 shree Ambe society, beside Poonam mall, Wardhaman nagar, Nagpur",False,21.1375622,79.1226825
713,Sharanya's Kitchen,"South Indian,Maharashtrian",,300,Dharampeth,Dharampeth,"ANUP INGOLE, SUDAM NAGARI, HILL TOP, NEAR BUDDHA VIHAR, AMBAZARI, NAGPUR, ZONE NO- 2, DHARAMPETH, NAGPUR (URBAN), NAGPUR, MAHARASHTRA- 440010",True,21.1409684,79.0624344
714,OM	PAKODEWALA,Indian,,200,Seminary Hills,Dharampeth,"TELANGKHEDI,	BADA HANUMAN	MANDIR	CIVIL	LINE	NAGPUR,	-	440001",True,21.1409684,79.0624344
