,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
815,ARABIAN BARBEQUE AND BIRYANI,"Biryani,Barbecue",,350,Nandanvan,Nandanvan,"HOUSE NO 02, HARPUR NAGAR, UMRED ROAD NAGPUR, ZONE NO. 3, NEHRU NAGAR, NAGPUR URBAN, NAGPUR- 1",False,21.1375622,79.1226825
816,Panipuriwala,"Chaat,Snacks,Fast Food,Street Food",3.0,100,Ayodhya Nagar,Nandanvan,P No 1 Mata kacheri layout ambika ngr manewada rd Nagpur 440024,True,21.1375622,79.1226825
817,Pizza Express,Pizzas,,400,Wardha Road,"C/o Spice Mystery, high court society","Spice Mystery, plot no. 5, high court society, rajiv nagar, nagpur",False,,
818,Balaji Foods and Nashta Point,"South Indian,Maharashtrian,North Indian,Sweets",3.9,150,Somalwada,Manish Nagar,Balaji Foods and Nashta Point,False,21.1236132,79.0855402
819,Bawarchi Biryani Center 001,Biryani,,200,Khamla,"Pratap nagar, Bawarchi biryani","Khamla road,jaiprakash nagar,near VVV Public school,pratab nagar nagpur-440025",False,,
820,ACHARIZ FOOD,Indian,,200,Pratap Nagar,Pratap Nagar,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,21.1137148,79.0567838
821,Spice Mystery,"Biryani,Chinese,North Indian,Combo",2.8,200,Somalwada,"C/o Spice Mystery, high court society","Plot No. 5, high Court Society, Govind Nagar, Khamla, Nagpur",False,,
822,AHHO THALI AALI,"North Indian,Thalis",,99,Vivekanand Nagar,Nagpur_Test,ACHARIZ FOOD KHAMLA ROAD JAIPRAKASH NAGAR NEAR VVV PUBLIC SCHOOL ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440025,True,,
823,Ideal Restaurant,"South Indian,Indian,Continental,Chinese",4.4,300,Wardhaman Nagar,Wardhaman Nagar,"Opposite Big Bazar, Hiwari Nagar, Wardhaman Nagar, Nagpur",True,,
824,S N Chinese Food,Chinese,,300,Jaitala,Pratap Nagar,"PLOT NO. 1276, SANKET DHAM SOCIETY, HINGNA ROAD, NAGPUR",False,21.1137148,79.0567838
825,THE CURRY RISE,"North Indian,Sweets",,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
826,99 THALI/AHHO THALI AALI,"Thalis,Indian",3.0,200,Pratap Nagar,Pratap Nagar,ACHARIZ FOOD KHAMLA ROAD JAIPRAKASH NAGAR NEAR VVV PUBLIC SCHOOL ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440025,False,21.1137148,79.0567838
827,Thali Meals,"Thalis,Indian",2.6,500,Khamla,"Pratab nagar, Thali","achariz food khamla road jaiprakash nagar near VVV public school, Zone no1  Laxminagar, Nagpur urban Nagpur 1 Maharashtra 440025",False,,
828,Shree Vyankeshwara Hotchips,"Snacks,Indian",,200,Sadar,Sadar,SHOP NO 07 KUDRAT PLAZA JAFAR NAGAR CHOWK NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,21.1592054,79.0795595
829,BOLLYWOOD CHAUPATI,"Chaat,Snacks,Street Food",,70,Ayodhya Nagar,Ayodhya Nagar,"PLOT NO. 1, MATA KACHERI LAYOUT ,  AMBIKA NAGAR , MANEWADA ROAD,  NAGPUR, Zone no.3 -Neharunagar,  Nagpur urban, Nagpur-1, Maharashtra -  440024",True,21.1205917,79.11011712375097
830,PARATHA SINGH,"Indian,Beverages,Sweets",,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
831,Upwas Uphargruha,Indian,,150,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, , Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
832,BARBEQUE PAV BHAJI,"North Indian,Fast Food,Barbecue",,199,Pratap Nagar,Pratap Nagar,"HOUSE NO. 11. S E RAILWAY COLONY, PRATAP NAGAR, NAGPUR , Nagpur (Urban), Nagpur, , Maharashtra, 440022",False,21.1137148,79.0567838
833,SIDDHIVINAYAK FOOD JUNCTION,"Maharashtrian,Street Food,Chinese",,150,Ayodhya Nagar,Ayodhya Nagar,"Plot No. 112, Near Bashishwar Putla, Dwarka Nagar, New Subhedar Layout, Ayodhya Nagar",True,21.1205917,79.11011712375097
834,D Bite,"Fast Food,North Indian",,300,Nandanvan,Nandanvan,"SHREEJI ROW HOUSE BUNGLOW NO 2 NEAR SWAMINARAYAN TEMPLE WATHODA NAGPUR, Zone No.8- Lakadganj , Nagpur (Urban), Nagpur, Maharashtra-440008",False,21.1375622,79.1226825
835,Pizzeria,"Pizzas,Fast Food,Beverages",,200,Ayodhya Nagar,Ayodhya Nagar,"HOUSE NO 45533/22 SANJAY GANDHI NAGAR , Zone no-5 - hanumannagar, Nagar urban , Nagpur -1,Maharashtra-440024",False,21.1205917,79.11011712375097
836,BBC COURTYARD,"Indian,Chinese,North Indian",,250,Adarsh Nagar,Sadar,"PLOT NO 6, NEAR WHITE HALL LAWN, OPP B.H. TOWERS, KAMTHEE ROAD, NAGPUR, Netambit - 440009",False,21.1592054,79.0795595
837,Hotel Barkat,North Indian,3.7,300,Mate Square,Pratap Nagar,"Besides Reiliance Mart, Near Mate Square, Shivalkar Garden, Pratap Nagar, Nagpur",False,21.1137148,79.0567838
838,BEGAM BIRYANI,"Biryani,Indian",1.8,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
839,RB's Food,North Indian,3.3,100,Gittikhadan,Sadar,"Plot 43, Girja 4th Apartment, Anant Nagar, Near Sadar, Nagpur",False,21.1592054,79.0795595
840,KATMAN MOMO,Chinese,,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
841,Hungry Babaz,"Indian,Chinese,North Indian",,300,Khamla,"Pratab nagar, Hungry Babaz","Jaiprakash Nagar, Nagpur440025",False,,
842,THALI JUNCTION,"North Indian,Biryani,Sweets,Snacks",,200,Ayodhya Nagar,Ayodhya Nagar,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,21.1205917,79.11011712375097
843,Taste of Punjab,"Indian,Chinese,North Indian,Tandoor,Biryani,Beverages,Mughlai",3.7,300,Khamla,"Near Hanuman Mandir, Main Road","PR Plaza, Near Hanuman Mandir, Main Road, Khamlay, Vivekanand Nagar, Nagpur",False,,
844,Baharwali Ki Biryani,"Biryani,Indian",,300,Pratap Nagar,Pratap Nagar,"Wing E, 65 UGF Shop, Shewalkar Garden, South Ambazari Road, Nagpur - 440022",False,21.1137148,79.0567838
845,ROLLS MOON,"Indian,Snacks",1.5,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
846,Top N Town ICE CREAM,"Ice Cream,Desserts",,100,Wardha Road,Wardha Road,"WARD NO 4 BHIM NAGAR ISASANI, NEAR NITIN TRADERS AND CHOUDHARI KIRANA, NAGPUR URBAN INDL. AREA NAGPUR, Zone no. 1- laxminagar , Nagpur Urban, Nagpur-1 Maharashtra-440025",False,21.1137775,79.070792
847,Paratha Express,"North Indian,Indian",,200,Wardha Road,Wardha Road,"SIDDHIVINAYAK , PLOT NO. 5, HIGH COURT SOCIETY, RAJIV NAGAR, NAGPUR , Zone no.5-Hanumannagar , Nagpur urban, Nagpur-1, Maharashtra-440025",False,21.1137775,79.070792
848,Biryani Bronze,"Biryani,North Indian,Indian",,300,Pratap Nagar,Pratap Nagar,"Wing E, 65 UGF Shop, Shewalkar Garden, South Ambazari Road, Nagpur-440022",False,21.1137148,79.0567838
849,HOT SIZZILING SHAWARMA,"Arabian,Turkish",,150,Bajaj Nagar,Bajaj Nagar,BLOCK NO 20 UGF SHEWALKAR GARDEN OPPOSITE VNIT COLLEGE SOUTH AMBAZARI ROAD NAGPUR URBAN NAGPUR 440022 NAGPUR URBAN NAGPUR MAHARASHTRA,False,21.1275893,79.0615901
850,EGG BREAK,"Indian,Fast Food,Snacks,Beverages",,150,Sadar,Sadar,SHOP NO 4 HOUSE NO 100 A A 6 WARD NO 61 MOUZA POLICE LINE TAKLI BHUPAN NO 171/9 JAFAR NAGAR ZONE NO 10 MANGALWARI NAGPUR URBAN NAGPUR MAHARASHTRA,False,21.1592054,79.0795595
851,The Scrumptious zone,"Pizzas,Fast Food",,400,Dharampeth,Dharampeth,"Futala Lake, Vayusena Nagar, Nagpur, Maharashtra 440021",True,21.1409684,79.0624344
852,MAGGI FIGURE,Snacks,,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
853,Cake O Clock Cakes And Daily Needs,Bakery,,200,Ayodhya Nagar,Ayodhya Nagar,"Manewada Juni Wasti, Besa Road, Zone No. 5, Hanuman Nagar-440034",False,21.1205917,79.11011712375097
854,Fast Food Nation,"Fast Food,Pizzas,Snacks",,150,Ayodhya Nagar,Ayodhya Nagar,"562, new subhedhar layout, Near Thawre Colony , Nagpur , Zone no.5- Hanumannagar , Nagpur urban, Nagpur-1, Maharashtra-440024",False,21.1205917,79.11011712375097
855,NATWAR CHAT CENTER,Chaat,,200,Manish Nagar,Manish Nagar,"1, EKMAT SOCIETY, NEAR KAALA MARUTI MANDIR, OMKAR NAGAR, NAGPUR, ZONE NO 5, HANUMANNAGAR, NAGPUR (URBAN), NAGPUR, MAHARAHSTRA- 440027",False,21.1236132,79.0855402
856,AHOO THALI,Thalis,,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
857,SHAMAILS KITCHEN,"Pizzas,Fast Food,Beverages",,150,Sadar,Sadar,FALAK PLAZA PLOT NO 42 MOHAMMAD RAFI CHOWK JAILWAL NAGAR ZONE NO 7 SATRANJIPURA NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440026,False,21.1592054,79.0795595
858,Bakes N More,"Bakery,Chinese",,250,Zingabai Takli,Koradi Road,"3-A, Bandhu Nagar, Near IBP Petrol Pump, Koradi Road, Nagpur",False,21.1803459,79.0789957
859,Treat At Street Cafe,Fast Food,4.0,150,Pratap Nagar,"Ring Road, Pratap Nagar","Besides Cafe Coffee Day, Pratap nagar 6,ring road nagpur 440022",False,,
860,RAJWADA THALI,"North Indian,Sweets",,200,Sitabuldi,Sitabuldi,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,True,21.1414478,79.0824843
861,The Bun Story,"Snacks,Beverages,Chinese,Desserts",,250,Kotwal Nagar,Kotwal Nagar,"PLOT NO. 43 , SHOP NO. 102 , GANESH JYOTI APARTMENTS, KOTWAL NAGAR, KHAMLA, , Zone no.1 -Laxminagar, Nagpur (Urban), Nagpur, Maharashtra - 440025",False,,
862,Kitchen Glory ,"North Indian,Maharashtrian",3.3,300,Manish Nagar,narendra nagar,"Plot 42, Santaji Society, Dandekar Layout, Narendra Nagar, Nagpur",False,21.1066763,79.0783769
863,Spice Mystery Paratha Express,"North Indian,Indian",3.0,150,Somalwada,"C/o Spice Mystery, high court society","Spice Mystery, plot no. 5, high court society, rajiv nagar, nagpur",False,,
864,Foodiezz Snack Attack,North Indian,,250,Gittikhadan,Gittikhadan,land mark satymaran manidir Gittkhdan mizirana colony nagpur 440013.,True,21.1750912,79.0608519
865,THE SHAWARMA POINT,"Arabian,Combo",3.9,150,Pratap Nagar,Pratap Nagar,"G- 26, GAYATRI NAGAR, NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA  - 440022",False,21.1137148,79.0567838
866,Chefu's Saoji & Family Restaurant,"North Indian,Fast Food",,300,Pratap Nagar,Pratap Nagar,"PLOT NO.86, OPPOSITE SHITLA MATA MANDIR, SUBHASH NAGAR, PARSODI, NAGPUR, Zone no.5-Hanumannagar, Nagpur (Urban), Nagpur, Maharashtra - 440022",False,21.1137148,79.0567838
867,JAWAI SAOJI,"North Indian,Mughlai,Indian",,250,Wardha Road,Wardha Road,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,21.1137775,79.070792
868,Thali Choice,"Thalis,Sweets",,99,Pratap Nagar,Pratap Nagar,"Bhim Nagar, Near Chaoudhary Kirana, Tahsil-Hingna, Nagpur (Rural), Nagpur, Maharashtra - 440016",False,21.1137148,79.0567838
869,Goto Poha,Snacks,,150,Manish Nagar,Manish Nagar,"Plot no 24 milind society Narendra nagar,  Zone no.5-Hanumannagar, Nagpur urban,  Nagpur-1, Maharashtra - 440015",False,21.1236132,79.0855402
870,Food Culture India,"Jain,Snacks,North Indian",,300,Ayodhya Nagar,Ayodhya Nagar,"94 vinkar vasahat, Zone  no.5- Hanumannagar, Nagpur urban, Nagpur-1, Maharashtra - 440027",False,21.1205917,79.11011712375097
871,The J s Pizza,"Pizzas,Italian",,400,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, , Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
872,MAZI THALI,"Indian,Thalis,Desserts",,300,Ayodhya Nagar,Ayodhya Nagar,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,21.1205917,79.11011712375097
873,NIKHIL SAOJI FOODS,"Indian,North Indian,Biryani",,400,Khamla,"Pratab nagar, Nikhil",ACHARIZ FOOD KHAMLA ROAD JAIPRAKASH NAGAR NEAR VVV PUBLIC SCHOOL ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA -440025,False,,
874,THALI MAKERS,"Indian,Desserts",2.0,200,Pratap Nagar,Pratap Nagar,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,21.1137148,79.0567838
875,THALI CHIOCE,Thalis,,250,Pratap Nagar,Pratap Nagar,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,21.1137148,79.0567838
876,SHALU PURE VEG RESTAURANT,"Indian,Sweets",,200,Wardha Road,Wardha Road,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,True,21.1137775,79.070792
877,HUNGRY THALI,"Thalis,Snacks,Sweets",,200,Wardha Road,Wardha Road,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,21.1137775,79.070792
878,Crescent Delightss,"Bakery,Desserts,Cafe,Sweets,Ice Cream Cakes",,200,Khamla,Pratap Nagar,"Crescent Delightss, Plot number 24, Shastri Layout, Khamla, Nagpur, Maharashtra, India",False,21.1137148,79.0567838
879,Hotel Suhana,"North Indian,Chinese,Biryani,Fast Food,Snacks,Pizzas",,300,Sadar,Sadar,PLOT NO 10 SHOP NO 02 TELEPHONE EXCHANGE KAPIL NAGAR UPPALWADI NAGPUR 440026,False,21.1592054,79.0795595
880,Mahi Restaurant,North Indian,,500,Ayodhya Nagar,Ayodhya Nagar,"plot no 39, Ring Rd, lovkush nagar, Manewada, Nagpur, Maharashtra 440034, India",False,21.1205917,79.11011712375097
881,Briyani Mahal,Biryani,,200,Sadar,Sadar,"33 Surana Layout, Anant Nagar, behind Police line Takli, Surana Layout, Anant Nagar, Nagpur, Maharashtra 440013, India",False,21.1592054,79.0795595
882,Hotel Yarana,"North Indian,Biryani,Chinese,Fast Food,Pizzas,South Indian",,300,Sadar,Sadar,PLOT NO 10 SHOP NO 02 TELEPHONE EXCHANGE KAPIL NAGAR UPPALWADI NAGPUR 440026,False,21.1592054,79.0795595
883,Mad Casa Cafe,Indian,4.2,250,Pardi,ASHUTOSH SHOWROOM,"S NO 188/2, NEW DATTA NAGAR, NEAR AYODHYA NAGARI, WAKAD, PUNE PCMC ward No-56, Pune PCMC, Maharashtra-411057",True,,
884,Sapphire's Cafe,"Continental,Snacks,Indian,Beverages",,250,Sadar,Sadar,"4/41 Ekta colony behind jaiswal restaurant, Ekta colony near Yadav Nagar",False,21.1592054,79.0795595
885,Krypto Kitchen,"Chinese,Biryani",,250,Pratap Nagar,Pratap Nagar,"S Ambazari Rd, Gopal Nagar, Gayatri Nagar, Pratap Nagar, Nagpur, Maharashtra 440022, India",False,21.1137148,79.0567838
886,Bakasur Meals,"South Indian,Indian,North Indian,Beverages,Biryani",,300,Pratap Nagar,Pratap Nagar,"Shop no.1, G-14, Gurusai Apartment, Gayatri Nagar, Nagpur 440022",False,21.1137148,79.0567838
887,Roll Zone,Snacks,,200,Wardha Road,Manish Nagar,"SIDDHIVINAYAK , PLOT NO. 5, HIGH  COURT SOCIETY, RAJIV NAGAR, NAGPUR,  Zone no.5-Hanumannagar, Nagpur urban,  Nagpur-1, Maharashtra - 440025",False,21.1236132,79.0855402
888,Bowl Up,"North Indian,Biryani,Desserts",,300,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, , Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
889,Pav Bhaji Company,"Street Food,Juices,Indian",,200,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, , Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
890,patalachi ketli amruttulya,"Beverages,Snacks",,150,Ayodhya Nagar,Ayodhya Nagar,"PLOT NO 200,BESA ROAD, MANEWADA,  SEVADAL NAGAR NAGPUR, Zone no.5- Hanumannagar, Nagpur (Urban), Nagpur,  Maharashtra - 440027",True,21.1205917,79.11011712375097
891,SIX DEGREES,"North Indian,Italian,Snacks",,1000,Pratap Nagar,Pratap Nagar,8 GOPAL NAGAR OPP VNIT NAGPUR TAHSIL HINGNA NAGPUR RURAL NAGPUR 2 MAHARASHTRA,False,21.1137148,79.0567838
892,BHAGYASHREE RESTAURANT,"North Indian,Chinese",,350,Pratap Nagar,Pratap Nagar,GOPAL NAGAR PARSODI ROAD NEAR KOYNA KIRANA STORES WARD NO 94 NAGPUR NAGPUR 1 MAHARASHTRA,False,21.1137148,79.0567838
893,Jumbo,"Fast Food,Desserts",,200,Pratap Nagar,Pratap Nagar,"Shewalkar Gardens, Opp. VNIT Main Gate, 49-51, S Ambazari Rd, Opp. VNIT Main Gate, Gayatri Nagar, Pratap Nagar, Nagpur, Maharashtra 440022, India",True,21.1137148,79.0567838
894,Sampoorna,"Indian,Italian,Sweets,Snacks",,150,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, , Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
895,Khichadi's,"Home Food,North Indian",2.8,200,Manewada,Manewada cement road,"Manewada Besa Road, Opposite Indian Bank, Near Tata Square, Vaidehi Tower, Nagpur, Maharashtra 440027",True,,
896,Momoya,Chinese,,300,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, , Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
897,Tasty Streaks,"North Indian,Indian",,300,Ayodhya Nagar,Ayodhya Nagar,"Manewada Rd, Swaraj Nagar, Omkar Nagar, Nagpur, Maharashtra 440027, India",False,21.1205917,79.11011712375097
898,KRISHNA CLASSIC RESTAURANT,"Chinese,Indian",,250,Pratap Nagar,Pratap Nagar,NEAR RAMKRISHNA MANDIRSIMDHI COLONY ZONE NO 1 LAXMI NAGAR NAGPUR URBAN NAGPUR MAHARASHTRA 440025,False,21.1137148,79.0567838
899,Food Tales,"North Indian,Chinese,Snacks,Beverages",,200,Wardha Road,Wardha Road,"SIDDHIVINAYAK , PLOT NO. 5, HIGH COURT SOCIETY, RAJIV NAGAR, NAGPUR , Zone no.5-Hanumannagar , Nagpur, urban, Nagpur-1, Maharashtra-440025",False,21.1137775,79.070792
900,Ayushi Chinese and Rolls,Chinese,,200,Pratap Nagar,Shiwalkar Garden,"Ambazari Road, Shiwalkar Garden, Nagpur",False,,
901,Snack Eat,"Snacks,Street Food",,100,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, ,  Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
902,Fruitango,"Beverages,Chinese",,150,Pratap Nagar,Pratap Nagar,"Shop LGF 5, Sewalkar Garden complex, south ambazari rd, sewalkar garden complex,3, , Zone no.1 -laxminagar, nagpur(Urban), Nagpur, maharashtra -440022",False,21.1137148,79.0567838
903,FOODIE MATE,"Fast Food,Pizzas,American,Beverages",,200,Pratap Nagar,Pratap Nagar,"SHOP NO24 NEAR SHEWALKAR GARDEN GOPAL NAGAR NAGPUR,ZONE NO 1,LAXMINAGAR,NAGPUR",False,21.1137148,79.0567838
904,House Of Cakes,Bakery,,300,Pratap Nagar,Pratap Nagar,"34, NISHIGANDHA APPARTMENT, SWAWLAMBI NAGAR, NAGPUR, Zone no.1 -Laxminagar, Nagpur (Urban), Nagpur, Maharashtra - 440022",False,21.1137148,79.0567838
905,JAIN FOODS,"Fast Food,Pizzas,Indian,Snacks",,200,Ayodhya Nagar,Ayodhya Nagar,94 VINKAR VASAHAT ZONE NO 5 HANUMANNAGAR NAGPUR URBAN  NAGPUR 1 440027,False,21.1205917,79.11011712375097
906,The Indo Chinese,"Chinese,Beverages",,200,Pratap Nagar,Pratap Nagar,"41, Jaitala Rd, Parsodi, Nagpur, Maharashtra 440022, India",False,21.1137148,79.0567838
907,JIYANSH FOOD MANIA,"Chinese,Pizzas,Burgers,Snacks",,200,Sadar,Jaripatka,"SUGAR NAGAR MHADA COLONY QW NO C 26,H I G TATHAGAT CHOWK NARI ROAD NAGPUR,ZONE NO 9 ASINAGAR,MAHARASHTRA",False,21.1886888,79.0918769
908,New Thali King,"Thalis,North Indian,Biryani,Chinese",4.0,300,Trimurti Nagar,"New Thali King, Shelwalkar Garden Apartment","Plot no.169, S-1, Shivshakti Apartment, Lokaseva Society, Sujata Layout, Nagpur",False,,
909,Shree Balaji Family Restaurant,"Indian,South Indian,Chinese,Tandoor,Kebabs,Combo",3.7,300,Mhalgi Nagar,Ayodhya Nagar,"Shop 1234, Satyam Plaza, Hudkeshwar Road, Mahalgi Nagar Square, Ayodhya Nagar, Nagpur",False,21.1205917,79.11011712375097
910,Litti Chokha Express,"Indian,Italian,Desserts",,300,Ayodhya Nagar,Ayodhya Nagar,"94 vinkar vasahat, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1, Maharashtra - 440027",False,21.1205917,79.11011712375097
911,Dosa Central,"South Indian,Beverages",,300,Pratap Nagar,Pratap Nagar,"Shop no.1, G-14, Gurusai Apartment, Gayatri Nagar, Nagpur 440022",False,21.1137148,79.0567838
912,The Hakka Story,"Chinese,Combo",,200,Pratap Nagar,Pratap Nagar,"41, Jaitala Rd, Parsodi, Nagpur, Maharashtra 440022, India",False,21.1137148,79.0567838
913,SHIVAPRIYA IN,"Indian,North Indian,Chinese,Biryani,Snacks",,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137148,79.0567838
914,TRIMURTI IN,"North Indian,Chinese,Biryani",,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
915,SHIVA,"North Indian,Indian,Chinese,Sweets",,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
916,PANCHAVAKTRA IN,"Indian,Biryani,Chinese,Snacks",,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
917,MAHESHWARA INN,Indian,,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137148,79.0567838
918,VISHVESHWARA,"North Indian,Chinese,Snacks",,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137148,79.0567838
919,VISHNUVALLABHA IN,"North Indian,Chinese,Biryani,Snacks",,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,21.1137775,79.070792
